text,gender
Le PIJ de la #mlvelay accueille jusqu'à 19h00 les jeunes qui recherchent un job d'été au Forum au centre culturel de Vals,femme
"Tous les éléments de la Délivrance sont déjà prêts comme un trésor dans un coffre. Le coffre, ainsi que sa clé, ont été remis à chaque Juif. \n Rabbi de Loubavitch",femme
"#VendrediLecture Le grand oublié - Une époque récente ayant marqué la fin de la critique littéraire de qualité au Québec. Depuis, le désert... Ce livre est celui d'un véritable historien de la littérature",femme
"Jour 1 : arrivée à Izumo\nDéjà,  information importante, nous avons vu le symbole du Japon depuus notre hublot.",femme
"Aujourd'hui j'ai croisé un viewer d'@OgamingSC2 .\nIl m'a dit: ""c'est marrant je t'imaginais plus grand !"".\nJ'ai du lui répondre: ""c'est normal, les autres sont tout petits""\n#OGSC2",femme
"C’est avec un immense plaisir que j’ai lancé avec @florencepoivey et @F_Bierry le club d’entreprises engagées pour l’inclusion dans le Bas-Rhin. Bravo aux entrepreneurs mobilisés pour encourager l’#apprentissage, la #formation en situation de travail... \n#LaFranceunechance",femme
"Cette femme est stylée peu importe où elle va, elle est la définition même du mot ""Flow""",femme
"Quand je vous parle de Carole Duplessy-Rousée, son dernier roman vient de paraître ...\n\nQui est-elle ...........\n\nGéographe de formation, Carole Duplessy-Rousée est professeur de lycée à Rouen. Membre de la Société des... https://www.facebook.com/MjGys/posts/2187596264639927 …",femme
"Livre fini ce matin, gros gros coup de  Merci Mr @michelbussi de m avoir fait voyager,  de m avoir rempli d émotion. Je n oublierai de sitôt Nathy et Yl. Merci de m avoir permis de faire leur connaissance.  @PressesdelaCite",femme
"Steamshot Studios ... \nLes 5, 6 et 7 avril prochains, retrouvez moi avec l'association Art O 9 pour les Journées Européennes des Métiers d'Art chez Marie Antiquités, 9 rue de Québec à Caen\nVenez faire tirer votre portrait  #steampunk #photoshoot … http://bit.ly/2IfvMXu ",femme
"Bonjour ,\nVente de Volailles Vivantes  ( magasin CAPL Espace Jardin Calvisson 30 le gars\nle 15/04/2019 de 9h/12h )\nVenez nombreux \nMerci de partager \nhttps://www.facebook.com/events/1621534711312048/?ti=as …",femme
"Hauts-de-Seine Jeudi 4 Avril 2019\nARRESTATION des AGRESSEURS de Jany LE PEN, épouse du Fondateur du FRONT NATIONAL, Jean-Marie LE PEN\nhttp://www.leparisien.fr/faits-divers/agression-de-l-epouse-de-jean-marie-le-pen-quatre-personnes-arretees-05-04-2019-8046963.php …",femme
Marie-Antoinette regarde ça #SANSCULOTTESACTEXVI en top tweet quand vont-ils arrêter tout ça pour l’augmentation d’un écu du prix du pain,femme
